1,10.00,0.1111
2,10.00,0.1111
3,9.99,0.1111
4,9.99,0.1111
5,9.99,0.1110
6,9.99,0.1110
7,9.98,0.1110
8,9.98,0.1110
9,9.98,0.1110
10,9.98,0.1110
11,9.97,0.1110
12,9.97,0.1110
13,9.97,0.1109
14,9.97,0.1109
15,9.97,0.1109
16,9.97,0.1109
17,9.97,0.1109
18,9.96,0.1109
19,9.96,0.1109
20,9.96,0.1109
21,9.96,0.1109
22,9.97,0.1109
23,9.97,0.1109
24,9.97,0.1109
25,9.97,0.1109
26,9.97,0.1109
27,9.97,0.1110
28,9.98,0.1110
29,9.98,0.1110
30,9.98,0.1110
31,9.99,0.1110
32,9.99,0.1111
33,10.00,0.1111
34,10.00,0.1111
35,10.01,0.1111
36,10.01,0.1112
37,10.02,0.1112
38,10.03,0.1113
39,10.03,0.1113
40,10.04,0.1114
41,10.05,0.1114
42,10.06,0.1115
43,10.07,0.1115
44,10.08,0.1116
45,10.09,0.1116
46,10.11,0.1117
47,10.12,0.1118
48,10.13,0.1118
49,10.15,0.1119
50,10.16,0.1120
51,10.17,0.1121
52,10.19,0.1122
53,10.21,0.1123
54,10.22,0.1124
55,10.24,0.1124
56,10.26,0.1126
57,10.28,0.1127
58,10.30,0.1128
59,10.32,0.1129
60,10.34,0.1130
61,10.37,0.1131
62,10.39,0.1133
63,10.41,0.1134
64,10.44,0.1135
65,10.46,0.1137
66,10.49,0.1138
67,10.52,0.1140
68,10.55,0.1141
69,10.58,0.1143
70,10.61,0.1144
71,10.64,0.1146
72,10.67,0.1148
73,10.70,0.1150
74,10.74,0.1151
75,10.77,0.1153
76,10.81,0.1155
77,10.85,0.1157
78,10.89,0.1159
79,10.93,0.1161
80,10.97,0.1164
81,11.01,0.1166
82,11.05,0.1168
83,11.09,0.1170
84,11.14,0.1173
85,11.18,0.1175
86,11.23,0.1178
87,11.28,0.1180
88,11.33,0.1183
89,11.38,0.1185
90,11.43,0.1188
91,11.48,0.1191
92,11.54,0.1193
93,11.59,0.1196
94,11.65,0.1199
95,11.71,0.1202
96,11.77,0.1205
97,11.83,0.1208
98,11.89,0.1212
99,11.95,0.1215
100,12.02,0.1218
101,12.08,0.1221
102,12.15,0.1225
103,12.22,0.1228
104,12.29,0.1232
